abandon,abandonner
category,catégorie
cause,cause
celebrate,célébrer
celebrity,vedette
center,centre
century,siècle
ceremony,cérémonie
certain,certain
chair,chaise
challenge,défi
champion,champion
chance,chance
change,changement
channel,chaîne
chapter,chapitre
character,personnage
charge,charger
charity,charité
chase,poursuivre
cheap,bon marché
check,vérifier
cheer,applaudir
chemical,produit chimique
child,enfant
choice,choix
choose,choisir
church,église
circle,cercle
circumstance,circonstance
citizen,citoyen
claim,réclamation
class,classe
classroom,salle de classe
clean,propre
clear,clair
climate,climat
climb,grimper
clock,horloge
close,fermer
clothes,vêtements
cloud,nuage
club,club
coach,entraîneur
coal,houille
coast,coast
code,code
coffee,café
cold,froid
collapse,s'effondrer
colleague,collègue
collect,collecter
college,collège
color,couleur
column,colonne
combination,combinaison
combine,combiner
come,venir
comfort,confort
command,commande
comment,commentaire
commercial,commercial
commission,commission
commit,commettre
committee,comité
common,commun
communication,communication
community,communauté
company,entreprise
compare,comparer
compete,concurrencer
competition,compétition
complain,se plaindre
complete,complet
complex,complexe
complicate,compliquer
component,composant
compose,composer
composition,composition
compound,composé
comprehensive,complet
computer,ordinateur
concentrate,se concentrer
concept,concept
concern,préoccupation
concert,concert
conclude,conclure
conclusion,conclusion
concrete,béton
condition,condition
conduct,conduire
conference,conférence
confess,avouer
confidence,confiance
conflict,conflit
conform,conformer
confront,confronter
confuse,confondre
congratulate,féliciter
congress,congrès
connect,connecter
connection,connexion
conquer,conquérir
conscience,conscience
conscious,conscient
consecutive,consécutif
consent,consentement
consequence,conséquence
conservative,conservateur
consider,considérer
consist,consister
consistent,cohérent
constant,constant
constitute,constituent
construct,construire
consult,consulter
consume,consommer
contact,contact
contain,contenir
contemplate,contempler
contemporary,contemporain
content,contenu
contest,concours
context,contexte
continue,continuer
contract,contrat
contrast,contraste
contribute,contribuer
control,contrôle
controversial,controversé
convenience,commodité
convention,convention
conversation,conversation
convert,convertir
convince,convaincre
cook,cuisinier
cool,frais
cooperate,coopérer
coordinate,coordonner
cope,faire face
copy,copier
core,coeur
corn,maïs
corner,coin
corporate,entreprise
correct,corriger
correlate,correlater
correspond,correspondre
corruption,corruption
cost,coût
cotton,coton
cough,tousser
council,conseil
count,compter
counter,comptoir
country,pays
county,comté
couple,couple
courage,courage
course,course
court,cour
cousin,cousin
cover,couverture
cow,vache
crack,fissure
craft,artisanat
crash,accident
create,créer
creation,création
creative,créatif
creature,créature
credit,crédit
crew,équipage
crime,crime
criminal,criminel
crisis,crise
criterion,critère
critic,critique
critical,critique
criticism,critique
criticize,critiquer
crop,culture
cross,croix
crowd,foule
crucial,crucial
cruel,cruel
crush,écraser
cry,pleurer
culture,culture
cup,coupe
curious,curieux
currency,devise
current,actuel
curse,malédiction
curve,courbe
custom,coutume
customer,client
cut,couper
cycle,cycle
daily,quotidien
damage,dommage
dance,dancer
danger,danger
dare,oser
dark,sombre
data,données
date,date
daughter,fille
dawn,aurore
day,jour
dead,mort
deal,affaire
debate,débat
debt,dette
decade,décennie
decide,décider
decision,décision
declare,déclarer
decline,refuser
decorate,décorer
decrease,diminuer
dedicate,dédicacer
deep,profond
defeat,défaite
defend,défendre
defense,défense
deficit,déficit
define,définir
definitely,définitivement
definition,définition
degree,degré
delay,retard
deliver,livrer
demand,demande
democracy,démocratie
demonstrate,démontrer
deny,nier
department,département
depend,dépendre
depict,représenter
deposit,dépôt
depress,déprimer
depth,profondeur
derive,dériver
describe,décrire
description,description
desert,désert
deserve,mériter
design,conception
desire,désir
desk,bureau
desperate,désespéré
despite,malgré
destroy,détruire
detail,détail
detect,détecter
determine,déterminer
develop,développer
device,dispositif
devote,dévouer
diagnose,diagnostiquer
dialogue,dialogue
diet,régime
differ,différer
difference,différence
different,différent
difficult,difficile
difficulty,difficulté
digital,numérique
dignity,dignité
dimension,dimension
diminish,diminuer
dinner,dîner
direct,direct
direction,direction
directly,directement
director,directeur
dirt,saleté
disappear,disparaître
disappoint,décevoir
disaster,catastrophe
discipline,discipline
disclose,divulguer
discount,réduction
discover,découvrir
discuss,discuter
disease,maladie
dish,plat
dismiss,rejeter
display,afficher
distance,distance
distinct,distinct
distinguish,distinguer
distribute,distribuer
district,district
disturb,déranger
diverse,divers
divide,diviser
division,division
divorce,divorce
doctor,médecin
document,document
dog,chien
domestic,domestique
dominant,dominant
dominate,dominer
door,porte
double,double
doubt,doute
down,bas
draft,projet
drag,traîner
drama,drame
dramatic,dramatique
draw,dessiner
dream,rêve
dress,robe
drink,boisson
drive,conduire
drop,laisser tomber
drug,médicament
dry,sec
dual,double
duck,canard
due,dû
dump,décharge
during,pandant
dust,poussière
duty,devoir
each,chacun
eager,désireux
ear,oreille
early,tôt
earn,gagner
earth,terre
ease,facilité
east,est
easy,facile
eat,manger
economy,économie
edge,bord
edit,éditer
educate,éduquer
effect,effet
effective,effectif
efficiency,efficacité
effort,effort
either,l'un ou l'autre
elaborate,élaborer
elect,élire
election,élection
electric,électrique
element,élément
eliminate,éliminer
else,autre
elsewhere,ailleurs
embarrass,embarrasser
emerge,émerger
emergency,urgence
emit,émettre
emotion,émotion
emphasis,accent
emphasize,accentuer
employ,employer
employee,employé
employer,employeur
empty,vide
enable,permettre
encounter,rencontre
encourage,encourager
end,fin
endorse,approuver
endure,endurer
enemy,ennemi
energy,énergie
enforce,appliquer
engage,engager
engine,moteur
enhance,améliorer
enjoy,apprécier
enormous,énorme
enough,assez
ensure,assurer
enter,entrer
entertain,divertir
enthusiasm,enthousiasme
entire,entier
entitle,intituler
environment,environnement
episode,épisode
equal,égal
equation,équation
equip,équiper
equipment,équipement
equivalent,équivalent
era,ère
error,erreur
escape,échapper
especially,surtout
essay,essai
essential,essentiel
establish,établir
estate,propriété
estimate,estimation
ethics,éthique
ethnic,ethnique
evaluate,évaluer
even,même
evening,soirée
event,événement
eventually,finalement
ever,jamais
every,chaque
everybody,tout le monde
everyday,quotidien
everyone,tout le monde
everything,tout
evidence,preuve
evil,mal
exact,exact
examine,examiner
example,exemple
exceed,dépasser
excellent,excellent
except,sauf
exchange,échange
excite,exciter
exclude,exclure
exclusive,exclusif
execute,exécuter
exercise,exercice
exhibit,exposition
exist,exister
exit,sortie
expand,étendre
expect,attendre
expense,dépense
expensive,cher
experience,expérience
experiment,expérience
expert,expert
explain,expliquer
explicit,explicite
explode,exploser
explore,explorer
export,exportation
expose,exposer
express,exprimer
extend,étendre
extent,étendue
external,externe
extra,extra
extraordinary,extraordinaire
extreme,extrême
eye,œil
fabric,tissu
face,visage
facility,installation
fact,fait
factor,facteur
factory,usine
faculty,faculté
fade,s'estomper
fail,échouer
failure,échec
fair,juste
faith,foi
fall,tomber
false,faux
familiar,familier
family,famille
famous,célèbre
fan,ventilateur
fantasy,fantaisie
far,loin
fare,tarif
farm,ferme
fashion,mode
fast,rapide
fat,gros
fate,destin
father,père
fault,faute
favor,faveur
fear,peur
feather,plume
feature,caractéristique
federal,fédéral
fee,honoraires
feed,nourrir
feel,ressentir
feeling,sentiment
fellow,compagnon
female,femelle
fence,clôture
festival,festival
fetch,aller chercher
few,peu
field,champ
fight,combat
figure,figure
file,fichier
fill,remplir
film,film
filter,filtre
final,final
finance,finance
find,trouver
fine,bien
finger,doigt
finish,finir
fire,feu
firm,entreprise
first,premier
fish,poisson
fit,aller bien
fix,réparer
flag,drapeau
flame,flamme
flat,plat
flavor,saveur
flee,fuir
flexible,flexible
flight,vol
flip,retourner
float,flotter
flood,inondation
floor,sol
flow,écoulement
flower,fleur
fly,mouche
focus,focus
fold,plier
follow,suivre
food,nourriture
foot,foot
